en,ko
constitute,조성
redeem the time,시간을 구속하다
general subject,전체 주제
Anaheim,애나하임
life study,라이프스타디
message,메시지
composition,구성체
the Spirit (대문자 S),그 영
Young people,영피플
retreat,수련회
LAUSD,LA통합교육구(LAUSD)
Lord's interest,주님의 권익
FTTA,애나하임 전시간 훈련
FTTL,런던 전시간 훈련
FTTA Middle-Age,련FTTA 중년 훈련
Full-time training,전시간 훈련
Service,봉사
Character,성격
Peace,평강
mid-week,주중
meetings,집회
release of the word,말씀의 해방
in person,대면
serving ones,봉사자들
college meeting,대학생 집회
conference,특별 집회
young working saints,젊은 직장인 성도들
experience of life,생명의 체험
crucial dealings,중대한 행함
trainees,훈련생들
coordination,동역
enjoyment,누림
brothers,형제들
release,해방
burden,부담